Source,Target
1,8
1,10
1,12
1,16
1,19
1,20
1,21
1,22
1,30
2,3
2,4
2,7
2,10
2,13
2,14
2,19
2,20
2,21
3,4
3,8
3,11
3,14
3,17
3,18
3,19
3,20
3,22
4,1
4,6
4,9
4,13
4,15
4,16
4,20
4,24
4,25
5,7
5,8
5,10
5,11
5,13
5,15
5,18
5,19
5,27
6,4
6,5
6,7
6,10
6,15
6,20
6,22
6,24
6,25
7,3
7,5
7,6
7,14
7,23
7,24
7,27
7,28
7,30
8,3
8,4
8,9
8,15
8,17
8,18
8,24
8,25
8,28
9,7
9,8
9,13
9,14
9,15
9,16
9,21
9,22
9,23
10,1
10,3
10,8
10,9
10,13
10,18
10,21
10,29
10,30
11,2
11,10
11,12
11,14
11,17
11,18
11,19
11,25
11,26
12,9
12,14
12,15
12,18
12,19
12,20
12,22
12,27
12,29
13,2
13,4
13,8
13,15
13,18
13,19
13,25
13,26
13,29
14,7
14,10
14,12
14,13
14,16
14,19
14,23
14,26
14,28
15,2
15,9
15,11
15,14
15,16
15,19
15,23
15,24
15,29
16,1
16,4
16,5
16,6
16,14
16,18
16,19
16,26
16,27
17,3
17,4
17,7
17,9
17,14
17,21
17,22
17,23
17,27
18,4
18,8
18,13
18,16
18,17
18,19
18,21
18,22
18,29
19,6
19,8
19,9
19,10
19,14
19,16
19,22
19,24
19,25
20,1
20,11
20,12
20,14
20,16
20,17
20,18
20,26
20,28
21,2
21,9
21,12
21,13
21,22
21,25
21,26
21,28
21,29
22,1
22,6
22,10
22,15
22,16
22,17
22,18
22,24
22,28
23,4
23,5
23,11
23,15
23,18
23,20
23,24
23,25
23,28
24,9
24,11
24,17
24,18
24,21
24,22
24,28
24,29
24,30
25,3
25,9
25,10
25,11
25,13
25,17
25,19
25,26
25,29
26,3
26,6
26,7
26,9
26,18
26,19
26,25
26,29
26,30
27,1
27,2
27,6
27,7
27,8
27,16
27,19
27,26
27,30
28,3
28,7
28,13
28,16
28,17
28,19
28,20
28,27
28,30
29,4
29,6
29,7
29,8
29,12
29,13
29,20
29,25
29,30
30,3
30,4
30,8
30,9
30,13
30,15
30,16
30,18
30,19
